,medianMetricDepth,"Ground Truth (0=Score, 1=Performance)"
17,12,1
22715,12,1
3334,12,1
21500,12,1
4371,12,1
10933,12,1
24686,12,1
352,12,1
24831,12,1
11389,12,1
438,12,1
16152,12,1
13174,12,1
10617,12,1
8339,12,1
17784,12,1
24010,12,1
17016,12,1
10503,12,1
2790,12,1
10753,12,1
15157,12,1
14507,12,1
11015,12,1
1103,12,1
14060,12,1
303,12,1
16253,12,1
5230,12,1
20724,12,1
15485,12,1
8068,12,1
22077,12,1
15377,12,1
24415,12,1
6239,12,1
21858,12,1
19908,12,1
20372,12,1
10182,12,1
19443,12,1
19264,12,1
19078,12,1
7531,12,1
15247,12,1
18233,12,1
4515,12,1
23014,12,1
9280,12,1
3382,12,1
16246,12,1
12194,12,1
3996,12,1
3820,12,1
7549,12,1
17296,12,1
4534,12,1
5819,12,1
25906,0,0
20313,12,1
12872,12,1
23814,12,1
6969,12,1
7586,12,1
6425,12,1
955,12,1
18856,12,1
13037,12,1
1799,12,1
26022,2,0
18183,12,1
11080,12,1
17119,12,1
19290,12,1
17561,12,1
23438,12,1
22025,12,1
2242,12,1
4058,12,1
19592,12,1
3878,12,1
8555,12,1
24948,12,1
8109,12,1
8203,12,1
11656,12,1
17101,12,1
8257,12,1
6255,12,1
18588,12,1
22406,12,1
18860,12,1
25367,2,0
1026,12,1
7243,12,1
13840,12,1
9751,12,1
3034,12,1
13696,12,1
2805,12,1
7797,12,1
17205,12,1
6386,12,1
25356,2,0
13477,12,1
4971,12,1
11697,12,1
2617,12,1
6069,12,1
4670,12,1
9466,12,1
14969,12,1
17808,12,1
22844,12,1
20403,12,1
26086,2,0
9190,12,1
23017,12,1
5529,12,1
19619,12,1
20094,12,1
22399,12,1
6519,12,1
17357,12,1
21660,12,1
10684,12,1
1606,12,1
25015,12,1
7519,12,1
15266,12,1
23323,12,1
6357,12,1
2679,12,1
3884,12,1
24614,12,1
11499,12,1
1496,12,1
17688,12,1
14215,12,1
661,12,1
20301,12,1
5276,12,1
20719,12,1
15525,12,1
17323,12,1
13541,12,1
1287,12,1
4967,12,1
22429,12,1
870,12,1
6024,12,1
199,12,1
13059,12,1
21950,12,1
7843,12,1
13843,12,1
22694,12,1
25834,2,0
12723,12,1
22448,12,1
7163,12,1
8602,12,1
24829,12,1
10967,12,1
9155,12,1
13256,12,1
16982,12,1
12058,12,1
17579,12,1
7387,12,1
7885,12,1
4381,12,1
26035,2,0
11749,12,1
25142,0,0
24079,12,1
12212,12,1
10867,12,1
15592,12,1
750,12,1
22391,12,1
68,12,1
21549,12,1
6824,12,1
13476,12,1
5330,12,1
25466,0,0
2174,12,1
11995,12,1
23158,12,1
22153,12,1
23134,12,1
17132,12,1
17773,12,1
21864,12,1
6052,12,1
15460,12,1
19027,12,1
22148,12,1
24983,12,1
24896,12,1
15173,12,1
21425,12,1
15265,12,1
6200,12,1
3492,12,1
9907,12,1
9490,12,1
5250,12,1
24032,12,1
20362,12,1
5245,12,1
18771,12,1
693,12,1
12936,12,1
18837,12,1
22944,12,1
5219,12,1
23049,12,1
5163,12,1
14593,12,1
8964,12,1
7375,12,1
9489,12,1
18502,12,1
14816,12,1
10362,12,1
14849,12,1
12807,12,1
19909,12,1
3079,12,1
183,12,1
22449,12,1
139,12,1
2813,12,1
4893,12,1
22364,12,1
9759,12,1
8247,12,1
21865,12,1
15578,12,1
9492,12,1
14466,12,1
13928,12,1
8091,12,1
23895,12,1
4753,12,1
9886,12,1
12204,12,1
24091,12,1
11326,12,1
14878,12,1
24573,12,1
21672,12,1
514,12,1
21818,12,1
22377,12,1
2590,12,1
1668,12,1
9942,12,1
6037,12,1
9683,12,1
10418,12,1
187,12,1
15344,12,1
5992,12,1
21885,12,1
11906,12,1
18091,12,1
19519,12,1
15019,12,1
15724,12,1
17933,12,1
23534,12,1
20191,12,1
17183,12,1
9561,12,1
23502,12,1
4499,12,1
13028,12,1
6413,12,1
15159,12,1
15077,12,1
20010,12,1
2511,12,1
16757,12,1
5313,12,1
20609,12,1
19284,12,1
615,12,1
14584,12,1
26059,4,0
14960,12,1
5437,12,1
22075,12,1
12342,12,1
3109,12,1
10117,12,1
8296,12,1
3771,12,1
14564,12,1
8976,12,1
3055,12,1
4528,12,1
17161,12,1
11269,12,1
1927,12,1
23503,12,1
6742,12,1
540,12,1
653,12,1
8606,12,1
8300,12,1
16976,12,1
1989,12,1
25805,4,0
13007,12,1
24040,12,1
24615,12,1
10697,12,1
23538,12,1
5686,12,1
15553,12,1
7271,12,1
624,12,1
25433,1,0
23973,12,1
2991,12,1
7104,12,1
1111,12,1
19066,12,1
16160,12,1
2945,12,1
23248,12,1
15430,12,1
17065,12,1
16131,12,1
11716,12,1
19006,12,1
10020,12,1
20088,12,1
12609,12,1
13852,12,1
9141,12,1
9846,12,1
16093,12,1
13420,12,1
7084,12,1
25361,2,0
21324,12,1
11376,12,1
12767,12,1
9983,12,1
5103,12,1
15929,12,1
23965,12,1
5633,12,1
4496,12,1
15164,12,1
11169,12,1
10990,12,1
8509,12,1
19925,12,1
23757,12,1
8501,12,1
16426,12,1
11407,12,1
4442,12,1
1271,12,1
15723,12,1
7122,12,1
494,12,1
4252,12,1
22580,12,1
25321,0,0
10520,12,1
19036,12,1
16863,12,1
23198,12,1
19757,12,1
21470,12,1
14349,12,1
20712,12,1
12313,12,1
8293,12,1
3061,12,1
14380,12,1
14932,12,1
9163,12,1
17164,12,1
833,12,1
5058,12,1
595,12,1
7672,12,1
2685,12,1
10425,12,1
10032,12,1
24839,12,1
6810,12,1
23449,12,1
6162,12,1
5917,12,1
7087,12,1
12413,12,1
20891,12,1
15757,12,1
2321,12,1
10309,12,1
2458,12,1
23951,12,1
19446,12,1
15067,12,1
910,12,1
24216,12,1
4862,12,1
20872,12,1
15584,12,1
19049,12,1
9073,12,1
6493,12,1
23278,12,1
142,12,1
8268,12,1
15481,12,1
8048,12,1
17232,12,1
7800,12,1
6940,12,1
13683,12,1
25462,0,0
10645,12,1
25278,0,0
3795,12,1
2792,12,1
15319,12,1
14119,12,1
4336,12,1
3868,12,1
6347,12,1
11947,12,1
10619,12,1
19463,12,1
18706,12,1
18249,12,1
21341,12,1
14456,12,1
24088,12,1
25667,0,0
19759,12,1
3708,12,1
6390,12,1
209,12,1
24936,12,1
25378,4,0
17371,12,1
8063,12,1
8989,12,1
1100,12,1
24086,12,1
19849,12,1
22981,12,1
9449,12,1
15110,12,1
16791,12,1
4611,12,1
12469,12,1
21496,12,1
4232,12,1
22913,12,1
16024,12,1
7160,12,1
15326,12,1
2938,12,1
1228,12,1
6057,12,1
10612,12,1
10061,12,1
22295,12,1
148,12,1
12382,12,1
3862,12,1
13845,12,1
25962,6,0
16003,12,1
23638,12,1
12658,12,1
10190,12,1
11275,12,1
21307,12,1
17668,12,1
25842,0,0
1481,12,1
17349,12,1
24789,12,1
418,12,1
12642,12,1
25893,2,0
13359,12,1
181,12,1
2798,12,1
13824,12,1
2902,12,1
17200,12,1
22426,12,1
11143,12,1
8153,12,1
25728,2,0
1738,12,1
21234,12,1
9310,12,1
24756,12,1
23245,12,1
10972,12,1
9007,12,1
11459,12,1
20190,12,1
9374,12,1
4707,12,1
14422,12,1
8902,12,1
12562,12,1
12423,12,1
14568,12,1
19460,12,1
10390,12,1
526,12,1
11628,12,1
8499,12,1
19706,12,1
7925,12,1
22019,12,1
17070,12,1
16774,12,1
13978,12,1
10784,12,1
4817,12,1
5544,12,1
20796,12,1
23937,12,1
9048,12,1
13777,12,1
24295,12,1
8504,12,1
11849,12,1
24725,12,1
9917,12,1
6315,12,1
6249,12,1
10812,12,1
10523,12,1
17114,12,1
6284,12,1
15462,12,1
72,12,1
746,12,1
5789,12,1
17925,12,1
25500,2,0
22582,12,1
19954,12,1
16014,12,1
4216,12,1
9399,12,1
10344,12,1
19421,12,1
7364,12,1
533,12,1
23672,12,1
11861,12,1
10025,12,1
7300,12,1
14402,12,1
5717,12,1
3849,12,1
24700,12,1
13534,12,1
14851,12,1
5383,12,1
12144,12,1
11962,12,1
1038,12,1
2723,12,1
821,12,1
15751,12,1
12289,12,1
10262,12,1
15875,12,1
25601,12,0
14036,12,1
24378,12,1
12886,12,1
7509,12,1
10347,12,1
5080,12,1
6169,12,1
12082,12,1
4630,12,1
4077,12,1
13366,12,1
10353,12,1
19054,12,1
13940,12,1
17412,12,1
5095,12,1
10016,12,1
12987,12,1
20955,12,1
15438,12,1
11468,12,1
5337,12,1
24878,12,1
6630,12,1
14725,12,1
4156,12,1
25272,0,0
21551,12,1
717,12,1
18699,12,1
1660,12,1
8275,12,1
23136,12,1
13727,12,1
5055,12,1
10368,12,1
10662,12,1
16853,12,1
22703,12,1
22614,12,1
17961,12,1
8813,12,1
24264,12,1
16104,12,1
23752,12,1
825,12,1
21238,12,1
3762,12,1
22835,12,1
2026,12,1
17744,12,1
5262,12,1
4153,12,1
6950,12,1
11416,12,1
15679,12,1
24157,12,1
18665,12,1
23822,12,1
20734,12,1
13499,12,1
23053,12,1
21631,12,1
7621,12,1
12933,12,1
15931,12,1
15236,12,1
17661,12,1
22980,12,1
10212,12,1
15167,12,1
2319,12,1
19681,12,1
7988,12,1
20810,12,1
21042,12,1
17133,12,1
2642,12,1
5838,12,1
3455,12,1
21976,12,1
16601,12,1
11337,12,1
18583,12,1
249,12,1
207,12,1
2157,12,1
7876,12,1
921,12,1
1844,12,1
5014,12,1
23337,12,1
20260,12,1
17368,12,1
20406,12,1
7677,12,1
20686,12,1
12475,12,1
19097,12,1
23699,12,1
17722,12,1
26070,4,0
3622,12,1
7984,12,1
121,12,1
15818,12,1
20672,12,1
5028,12,1
17760,12,1
22809,12,1
9314,12,1
21726,12,1
12487,12,1
21576,12,1
9665,12,1
20566,12,1
5149,12,1
6412,12,1
6106,12,1
1555,12,1
25953,12,0
19410,12,1
13876,12,1
1461,12,1
2168,12,1
5488,12,1
22176,12,1
12725,12,1
16435,12,1
20702,12,1
19065,12,1
6396,12,1
13785,12,1
5274,12,1
21392,12,1
12721,12,1
6862,12,1
21493,12,1
21611,12,1
11903,12,1
9480,12,1
7894,12,1
10261,12,1
19399,12,1
6518,12,1
15912,12,1
789,12,1
25415,4,0
18339,12,1
2491,12,1
13987,12,1
17073,12,1
12077,12,1
309,12,1
9293,12,1
9945,12,1
8260,12,1
2105,12,1
16363,12,1
14308,12,1
19215,12,1
4373,12,1
25214,2,0
